Dataset Name: cbp
  Category: 2011/cps/basic/may, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/may, File Size: 406024 bytes, variables length: 379
  Category: 2013/cps/basic/may, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/may, File Size: 411493 bytes, variables length: 387
  Category: 2015/cps/basic/may, File Size: 406260 bytes, variables length: 381
  Category: 2016/cps/basic/may, File Size: 406290 bytes, variables length: 381
  Category: 2017/cps/basic/may, File Size: 406290 bytes, variables length: 381
  Category: 2018/cps/basic/may, File Size: 406320 bytes, variables length: 381
  Category: 2019/cps/basic/may, File Size: 406320 bytes, variables length: 381
  Category: 2020/cps/basic/may, File Size: 423127 bytes, variables length: 392
  Category: 2021/cps/basic/may, File Size: 423692 bytes, variables length: 396
  Category: 2022/cps/basic/may, File Size: 420863 bytes, variables length: 396
  Category: 2023/cps/basic/may, File Size: 421203 bytes, variables length: 397
  Category: 2024/cps/basic/may, File Size: 421088 bytes, variables length: 397
Dataset Name: cps/basic/nov
  Category: 1989/cps/basic/nov, File Size: 153742 bytes, variables length: 238
  Category: 1990/cps/basic/nov, File Size: 153742 bytes, variables length: 238
  Category: 1991/cps/basic/nov, File Size: 153742 bytes, variables length: 238
  Category: 1992/cps/basic/nov, File Size: 153976 bytes, variables length: 237
  Category: 1993/cps/basic/nov, File Size: 153976 bytes, variables length: 237
  Category: 1994/cps/basic/nov, File Size: 369770 bytes, variables length: 349
  Category: 1995/cps/basic/nov, File Size: 373912 bytes, variables length: 353
  Category: 1996/cps/basic/nov, File Size: 373919 bytes, variables length: 353
  Category: 1997/cps/basic/nov, File Size: 373420 bytes, variables length: 352
  Category: 1998/cps/basic/nov, File Size: 381700 bytes, variables length: 363
  Category: 1999/cps/basic/nov, File Size: 383061 bytes, variables length: 364
  Category: 2000/cps/basic/nov, File Size: 383093 bytes, variables length: 364
  Category: 2001/cps/basic/nov, File Size: 383093 bytes, variables length: 364
  Category: 2002/cps/basic/nov, File Size: 383125 bytes, variables length: 364
  Category: 2003/cps/basic/nov, File Size: 403792 bytes, variables length: 366
  Category: 2004/cps/basic/nov, File Size: 398437 bytes, variables length: 355
  Category: 2005/cps/basic/nov, File Size: 408083 bytes, variables length: 364
  Category: 2006/cps/basic/nov, File Size: 406954 bytes, variables length: 361
  Category: 2007/cps/basic/nov, File Size: 411717 bytes, variables length: 365
  Category: 2008/cps/basic/nov, File Size: 411717 bytes, variables length: 365
  Category: 2009/cps/basic/nov, File Size: 421927 bytes, variables length: 378
  Category: 2010/cps/basic/nov, File Size: 423267 bytes, variables length: 379
  Category: 2011/cps/basic/nov, File Size: 427197 bytes, variables length: 379
  Category: 2012/cps/basic/nov, File Size: 405298 bytes, variables length: 378
  Category: 2013/cps/basic/nov, File Size: 406171 bytes, variables length: 380
  Category: 2014/cps/basic/nov, File Size: 411493 bytes, variables length: 387
  Category: 2015/cps/basic/nov, File Size: 406260 bytes, variables length: 381
